case_id,child_id,assigned_family,all_child_families,candidate_label,parent_id,retrieval_sources,word5_score,word10_score,bm25_score,function_score,word5_rank,word10_rank,bm25_rank,function_rank
SHC010,6571,ieepa_action,ieepa_action,C06,6659,bm25|function|word10|word5,0.28588682413101196,0.22891324758529663,632.8818175765136,0.7768197059631348,2,2,2,2
SHC010,6571,ieepa_action,ieepa_action,C07,6613,bm25|function|same_family_recent|word10|word5,0.07674121856689453,0.03236372396349907,365.69310559067907,0.7550276517868042,3,3,3,4
SHC010,6571,ieepa_action,ieepa_action,C08,6632,bm25,0.02118675410747528,0.002059496473520994,304.62519037634434,,7,24,4,
SHC011,6659,ieepa_action,ieepa_action,C01,1906,bm25|word10|word5,0.06450939923524857,0.03423099219799042,238.6658644833349,0.5242635011672974,1,1,1,526
SHC011,6659,ieepa_action,ieepa_action,C02,6957,bm25,0.0029494476038962603,0.0,204.17235025636361,0.6413772702217102,240,2847,3,13
SHC011,6659,ieepa_action,ieepa_action,C03,6695,same_family_recent,0.0037123896181583405,0.0,149.28656184198772,0.5563545227050781,150,2641,28,278
SHC011,6659,ieepa_action,ieepa_action,C04,1875,word10,0.0078281220048666,0.003541061654686928,114.23658388546613,0.608314037322998,23,5,299,60
SHC011,6659,ieepa_action,ieepa_action,C05,6704,bm25,0.00571625679731369,0.0,198.7501622882739,,62,2648,4,
SHC011,6659,ieepa_action,ieepa_action,C06,2208,word5,0.012969441711902618,0.003541061654686928,185.78924177966658,0.580767035484314,4,15,7,158
SHC011,6659,ieepa_action,ieepa_action,C07,6697,function,0.0030944286845624447,0.0,184.5056078275839,0.6486486792564392,225,2642,8,5
SHC011,6659,ieepa_action,ieepa_action,C08,11192,function,0.0,0.0,66.65357483056256,0.6492601633071899,4655,4232,2696,4
SHC011,6659,ieepa_action,ieepa_action,C09,1876,word10|word5,0.012759938836097717,0.005030154716223478,181.78316584842264,0.5626558065414429,5,4,11,246
SHC011,6659,ieepa_action,ieepa_action,C10,2271,function,0.0017931286711245775,0.0,133.49585195395002,0.6544346809387207,551,447,88,3
SHC011,6659,ieepa_action,ieepa_action,C11,7855,word10,0.00996987521648407,0.005142380483448505,83.39318317649429,,9,3,1589,
SHC011,6659,ieepa_action,ieepa_action,C12,1894,same_family_recent,0.0,0.0,109.95112994551795,0.43873918056488037,1574,86,406,1764
SHC011,6659,ieepa_action,ieepa_action,C13,6724,bm25,0.0,0.0,210.5731673818688,0.3961735665798187,3467,2663,2,2764
SHC011,6659,ieepa_action,ieepa_action,C14,11452,function,0.0005482102860696614,0.0,55.37940048500776,0.6577459573745728,1421,4490,3583,2
SHC011,6659,ieepa_action,ieepa_action,C15,6742,bm25|function|word10|word5,0.03662131354212761,0.0075642429292202,190.141036310661,0.6740838885307312,2,2,5,1
SHC011,6659,ieepa_action,ieepa_action,C16,11338,word5,0.01657545566558838,0.0010633395286276937,91.0245161048166,0.4848519265651703,3,22,1158,915
SHC012,6162,ieepa_action,ieepa_action,C01,6169,same_family_recent,0.0028664711862802505,0.0,165.64026733973242,,82,2993,131,
SHC012,6162,ieepa_action,ieepa_action,C02,6460,bm25|function|word10|word5,0.27447518706321716,0.1928262859582901,651.7025202544863,0.7383784055709839,3,3,3,3
SHC012,6162,ieepa_action,ieepa_action,C03,6657,bm25|word10|word5,0.12370800971984863,0.0762634202837944,498.36858184061504,,5,5,5,
SHC012,6162,ieepa_action,ieepa_action,C04,6570,bm25|word10|word5,0.2393563985824585,0.1649457961320877,627.7218111606572,,4,4,4,
SHC012,6162,ieepa_action,ieepa_action,C05,6425,bm25|function|word10|word5,0.29823750257492065,0.1981869637966156,719.0165819299394,0.7647413015365601,2,2,2,2
SHC012,6162,ieepa_action,ieepa_action,C06,6613,function,0.043730705976486206,0.021068114787340164,319.7501222341517,0.7366364002227783,12,11,12,4
SHC012,6162,ieepa_action,ieepa_action,C07,6571,function,0.03153867647051811,0.007283750455826521,274.84292983491537,0.7044280171394348,15,16,18,5
SHC012,6162,ieepa_action,ieepa_action,C08,6173,same_family_recent,0.01059049740433693,0.0005439315573312342,257.59128309313934,0.4485625624656677,26,58,20,1747
SHC012,6162,ieepa_action,ieepa_action,C09,6336,bm25|function|word10|word5,0.41055312752723694,0.2867285907268524,815.9389375186513,0.784619927406311,1,1,1,1
SHC013,4756,ieepa_action,ieepa_action,C01,4809,word10|word5,0.059155359864234924,0.024574177339673042,142.62261062002835,0.6593486666679382,5,4,22,19
SHC013,4756,ieepa_action,ieepa_action,C02,5143,word5,0.0609695240855217,0.02125491388142109,138.22862052194884,0.674708366394043,3,15,29,13
SHC013,4756,ieepa_action,ieepa_action,C03,5004,bm25|function,0.05801177769899368,0.02125491388142109,156.92761577097406,0.7230580449104309,8,10,4,2
